ID,CODIGO,DESCRIÇÃO DOS SERVIÇOS,QUANTIDADE,PREÇO UNITÁRIO,UNIDADE,PREÇO TOTAL
550899,5298-0584-7,PB Classe CFO,"1,38","R$ 199,16",PO,"R$ 274,84"
571979,5298-0500-1,PB Classe LFO,"22,97","R$ 108,55",PO,"R$ 2.493,61"
571979,5298-0584-7,PB Classe CFO,"5,70","R$ 266,63",PO,"R$ 1.519,79"
565588,5298-0500-1,PB Classe LFO,"30,51","R$ 108,55",PO,"R$ 3.311,86"
565588,5298-0584-7,PB Classe CFO,"3,56","R$ 266,63",PO,"R$ 949,20"
571603,5298-0500-1,PB Classe LFO,"20,19","R$ 108,55",PO,"R$ 2.191,19"
571603,5298-0584-7,PB Classe CFO,"7,02","R$ 266,63",PO,"R$ 1.871,74"
564333,5298-0500-1,PB Classe LFO,"12,28","R$ 108,55",PO,"R$ 1.333,21"
564333,5298-0584-7,PB Classe CFO,"5,58","R$ 266,63",PO,"R$ 1.487,80"
560043,5298-0500-1,PB Classe LFO,"4,16","R$ 89,08",PO,"R$ 370,57"
560043,5298-0584-7,PB Classe CFO,"4,62","R$ 199,16",PO,"R$ 920,12"
551508,5298-0500-1,PB Classe LFO,"30,99","R$ 89,08",PO,"R$ 2.760,23"
551508,5298-0584-7,PB Classe CFO,"6,33","R$ 199,16",PO,"R$ 1.260,68"
565905,5298-0500-1,PB Classe LFO,"27,80","R$ 108,55",PO,"R$ 3.017,69"
565905,5298-0584-7,PB Classe CFO,"3,97","R$ 266,63",PO,"R$ 1.058,52"
556031,5298-0500-1,PB Classe LFO,"13,80","R$ 108,55",PO,"R$ 1.497,99"
556031,5298-0584-7,PB Classe CFO,"7,18","R$ 266,63",PO,"R$ 1.914,40"
556031,5298-0587-1,PB Classe L,"16,00","R$ 76,86",PO,"R$ 1.229,76"
556031,5298-0589-8,PB Classe P,"1,88","R$ 77,76",PP,"R$ 145,80"
